Node X Y Demand Profit
240 11.2764 -9.7656 20 27
241 14.0955 -9.7656 10 22
242 14.0955 0.0 40 33
243 7.0477 12.207 40 33
244 -7.0477 12.207 40 33
245 -14.0955 0.0 40 33
246 -7.0477 -12.207 40 33
247 7.0477 -12.207 40 33
248 21.1432 12.207 40 53
249 0.0 24.4141 40 53
250 -21.1432 12.207 40 53
251 -21.1432 -12.207 40 53
252 0.0 -24.4141 40 53
253 21.1432 -12.207 40 53
254 13.0383 1.8311 10 18
255 8.1049 10.376 10 18
256 15.8574 -3.0518 10 21
257 17.6193 -6.1035 20 32
258 19.3813 -9.1553 10 26
259 15.8574 3.0518 10 21
260 17.6193 6.1035 20 32
261 19.3813 9.1553 10 26
262 4.9334 12.207 10 18
263 -4.9334 12.207 10 18
264 10.5716 12.207 10 21
265 14.0955 12.207 20 32
266 17.6193 12.207 10 26
267 5.2858 15.2588 10 21
268 3.5239 18.3105 20 32
269 1.7619 21.3623 10 26
270 -8.1049 10.376 10 18
271 -13.0383 1.8311 10 18
272 -5.2858 15.2588 10 21
273 -3.5239 18.3105 20 32
274 -1.7619 21.3623 10 26
275 -10.5716 12.207 10 21
276 -14.0955 12.207 20 32
277 -17.6193 12.207 10 26
278 -13.0383 -1.8311 10 18
279 -8.1049 -10.376 10 18
280 -15.8574 3.0518 10 21
281 -17.6193 6.1035 20 32
282 -19.3813 9.1553 10 26
283 -15.8574 -3.0518 10 21
284 -17.6193 -6.1035 20 32
285 -19.3813 -9.1553 10 26
286 -4.9334 -12.207 10 18
287 4.9334 -12.207 10 18
288 -10.5716 -12.207 10 21
289 -14.0955 -12.207 20 32
290 -17.6193 -12.207 10 26
291 -5.2858 -15.2588 10 21
292 -3.5239 -18.3105 20 32
293 -1.7619 -21.3623 10 26
294 8.1049 -10.376 10 18
295 13.0383 -1.8311 10 18
296 5.2858 -15.2588 10 21
297 3.5239 -18.3105 20 32
298 1.7619 -21.3623 10 26
299 10.5716 -12.207 10 21
300 14.0955 -12.207 20 32
301 17.6193 -12.207 10 26
302 17.6193 0.0 40 40
303 8.8097 15.2588 40 40
304 -8.8097 15.2588 40 40
305 -17.6193 0.0 40 40
306 -8.8097 -15.2588 40 40
307 8.8097 -15.2588 40 40
308 26.429 15.2588 40 65
309 0.0 30.5176 40 65
310 -26.429 15.2588 40 65
311 -26.429 -15.2588 40 65
312 0.0 -30.5176 40 65
313 26.429 -15.2588 40 65
314 16.2979 2.2888 10 21
315 10.1311 12.97 10 21
316 19.8217 -3.8147 10 25
317 22.0242 -7.6294 20 39
318 24.2266 -11.4441 10 31
319 19.8217 3.8147 10 25
320 22.0242 7.6294 20 39
321 24.2266 11.4441 10 31
322 6.1668 15.2588 10 21
323 -6.1668 15.2588 10 21
324 13.2145 15.2588 10 25
325 17.6193 15.2588 20 39
326 22.0242 15.2588 10 31
327 6.6072 19.0735 10 25
328 4.4048 22.8882 20 39
329 2.2024 26.7029 10 31
330 -10.1311 12.97 10 21
331 -16.2979 2.2888 10 21
332 -6.6072 19.0735 10 25
333 -4.4048 22.8882 20 39
334 -2.2024 26.7029 10 31
335 -13.2145 15.2588 10 25
336 -17.6193 15.2588 20 39
337 -22.0242 15.2588 10 31
338 -16.2979 -2.2888 10 21
339 -10.1311 -12.97 10 21
340 -19.8217 3.8147 10 25
341 -22.0242 7.6294 20 39
342 -24.2266 11.4441 10 31
343 -19.8217 -3.8147 10 25
344 -22.0242 -7.6294 20 39
345 -24.2266 -11.4441 10 31
346 -6.1668 -15.2588 10 21
347 6.1668 -15.2588 10 21
348 -13.2145 -15.2588 10 25
349 -17.6193 -15.2588 20 39
350 -22.0242 -15.2588 10 31
351 -6.6072 -19.0735 10 25
352 -4.4048 -22.8882 20 39
353 -2.2024 -26.7029 10 31
354 10.1311 -12.97 10 21
355 16.2979 -2.2888 10 21
356 6.6073 -19.0735 10 25
357 4.4048 -22.8882 20 39
358 2.2024 -26.7029 10 31
359 13.2145 -15.2588 10 25
360 17.6193 -15.2588 20 39
361 22.0242 -15.2588 10 31
362 22.0242 0.0 40 48
363 11.0121 19.0735 40 48
364 -11.0121 19.0735 40 48
365 -22.0242 0.0 40 48
366 -11.0121 -19.0735 40 48
367 11.0121 -19.0735 40 48
368 33.0362 19.0735 40 81
369 0.0 38.147 40 81
370 -33.0362 19.0735 40 81
371 -33.0362 -19.0735 40 81
372 0.0 -38.147 40 81
373 33.0363 -19.0735 40 81
374 20.3723 2.861 10 25
375 12.6639 16.2125 10 25
376 24.7772 -4.7684 10 30
377 27.5302 -9.5367 20 48
378 30.2832 -14.3051 10 38
379 24.7772 4.7684 10 30
380 27.5302 9.5367 20 48
381 30.2832 14.3051 10 38
382 7.7085 19.0735 10 25
383 -7.7085 19.0735 10 25
384 16.5181 19.0735 10 30
385 22.0242 19.0735 20 48
386 27.5302 19.0735 10 38
387 8.2591 23.8419 10 30
388 5.506 28.6102 20 48
389 2.753 33.3786 10 38
390 -12.6639 16.2125 10 25
391 -20.3723 2.861 10 25
392 -8.2591 23.8419 10 30
393 -5.506 28.6102 20 48
394 -2.753 33.3786 10 38
395 -16.5181 19.0735 10 30
396 -22.0242 19.0735 20 48
397 -27.5302 19.0735 10 38
398 -20.3723 -2.861 10 25
399 -12.6639 -16.2125 10 25
400 -24.7772 4.7684 10 30
401 -27.5302 9.5367 20 48
402 -30.2832 14.3051 10 38
403 -24.7772 -4.7684 10 30
404 -27.5302 -9.5367 20 48
405 -30.2832 -14.3051 10 38
406 -7.7085 -19.0735 10 25
407 7.7085 -19.0735 10 25
408 -16.5181 -19.0735 10 30
409 -22.0242 -19.0735 20 48
410 -27.5302 -19.0735 10 38
411 -8.2591 -23.8419 10 30
412 -5.506 -28.6102 20 48
413 -2.753 -33.3786 10 38
414 12.6639 -16.2125 10 25
415 20.3723 -2.861 10 25
416 8.2591 -23.8418 10 30
417 5.506 -28.6102 20 48
418 2.753 -33.3786 10 38
419 16.5181 -19.0735 10 30
420 22.0242 -19.0735 20 48
421 27.5302 -19.0735 10 38
